# citation=Milloy et al., Aust. J. Phys. 28, 231 (1975); Shimamori and Hatano, Chem. Phys. 12, 439 (1976); Hegerberg and Reid, Aust. J. Phys. 33, 227 (1980); Morrow and Lowke, J. Phys. D 30, 614 (1997); de Urquijo et al., J. Phys. D 57, 125205 (2024); Dutton, J. Phys. Chem. Ref. Data 4, 577 (1975)
# gas=dry air (0% H2O); measurement_temperature_K=293..300
# valid_en_td=0.000001..100; interpolation=positive log-linear plus nonnegative two-body onset; below_range=hold zero-field asymptote; above_range=forbidden
en_td,flux_drift_velocity_m_per_s,reduced_flux_mobility_ref_m2_per_v_s,longitudinal_diffusion_ref_m2_per_s,transverse_diffusion_ref_m2_per_s,eta_over_n2_cm5,three_body_rate_cm6_per_s,three_body_frequency_ref_s,eta_over_n_cm2,two_body_rate_cm3_per_s,two_body_frequency_ref_s,relative_uncertainty_mobility,relative_uncertainty_three_body,relative_uncertainty_two_body,source_row
36.0,50100.0,0.05179643690139448,0.022291842447415968,0.06439912870231428,2.335596995372374e-39,1.1701340946815594e-32,8447074.276124325,0.0,0.0,0.0,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
40.0,54100.0,0.050338692868840254,0.023224653863331845,0.06443690694729848,2.0420279548117917e-39,1.1047371235531793e-32,7974980.457932215,0.0,0.0,0.0,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
44.7,58804.054488718255,0.04896259290071226,0.03359780927286204,0.06463062262894019,1.7723557757303156e-39,1.0422170560944e-32,7523654.703069622,0.0,0.0,0.0,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
45.0,59100.0,0.04888094883628605,0.03435313383951169,0.06469472412985279,1.7573057590143812e-39,1.0385677035774993e-32,7497310.413205638,0.0,0.0,0.0,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
50.0,63800.0,0.047491439630787564,0.0313011761202918,0.06554539694179755,1.5364240886459076e-39,9.80238568556089e-33,7076238.556375396,1.515000000000002e-20,9.665700000000014e-14,2596980.276000004,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
55.0,68600.0,0.04642223936551761,0.031226738127140097,0.06654488888062338,1.3606285304954137e-39,9.333911719198536e-33,6738052.154639082,4.5595000000000007e-20,3.1278170000000003e-13,8403818.7156,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
59.6,73019.37234859167,0.04559912364787112,0.03874934371076526,0.06748670299884926,1.2281926938524435e-39,8.968185962823143e-33,6474038.599027285,7.360440000000003e-20,5.374547090094683e-13,14440333.121666392,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
60.0,73400.0,0.04553123914445935,0.03945213637040346,0.06775083553699326,1.217763455645317e-39,8.938383764436628e-33,6452524.70720011,7.603999999999999e-20,5.581335999999999e-13,14995933.564799998,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
60.6,73968.51629392196,0.04542960321228313,0.039731623728138335,0.0681444048184247,1.2024128741392241e-39,8.894069627278874e-33,6420534.800252242,7.969340000000001e-20,5.894802556418041e-13,15838155.508583993,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
65.0,78100.0,0.04472005588575485,0.041757300851000684,0.0701450558657209,1.0996253107932173e-39,8.588073677295027e-33,6199639.560172069,1.0648500000000003e-19,8.316478500000002e-13,22344714.433800004,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
70.0,83300.0,0.044290605925264265,0.04401145891067088,0.07283186716596773,1.0004893612256788e-39,8.334076379009904e-33,6016281.596815466,1.3693e-19,1.1406269e-12,30646363.5492,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
75.8,89067.4796120986,0.04373353850530995,0.04656849423642832,0.07565902161418621,9.039360270052922e-40,8.051130365593527e-33,5812025.862167221,1.7224620000000002e-19,1.534153490676146e-12,41219635.98748669,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
80.0,93200.0,0.04336013101086795,0.04838469554860801,0.07796247959138339,8.438758174541942e-40,7.86492261867309e-33,5677604.458998489,1.9782000000000003e-19,1.8436824000000003e-12,49536058.72320001,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
90.0,103000.0,0.04259507385903099,0.058122579338283804,0.08331731164081718,7.26213287340576e-40,7.479996859607933e-33,5399730.62450418,2.5871e-19,2.664713e-12,71595508.884,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
90.9,103991.77866399607,0.042579424136546334,0.0590299771312848,0.08388146554899628,7.1705896742199875e-40,7.456823742918206e-33,5383002.196644749,2.6419010000000005e-19,2.7473598404418994e-12,73816064.19299296,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
100.0,114000.0,0.042429656096471646,0.06848295369956825,0.09048073671371198,6.349330971239719e-40,7.23823730721328e-33,5225206.960479506,3.1960000000000007e-19,3.643440000000001e-12,97891945.92000002,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
