model,datetime_utc,latitude_deg_N,longitude_deg_E,f107a,f107_previous_day,ap,altitude_km_MSL,temperature_K,neutral_number_density_cm3,neutral_number_density_ratio_to_sea_level,mass_density_g_cm3,mass_density_ratio_to_sea_level,RREA_Eth_abs_kV_per_m,RREA_Eth_negative_kV_per_m,RREA_Eth_positive_kV_per_m
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.1,282.33149796838967,1.8165280764237967e+19,0.7345103445463028,0.0008729743301755658,0.7345103445463028,208.60093785115,-208.60093785115,208.60093785115
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.15,282.064353289387,1.8073106526407805e+19,0.730783293361924,0.000868544685262637,0.730783293361924,207.54245531478642,-207.54245531478642,207.54245531478642
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.2,281.79663073042366,1.7981351797767588e+19,0.7270732049673665,0.0008641352008283075,0.7270732049673666,206.48879021073208,-206.48879021073208,206.48879021073208
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.25,281.5283177492497,1.7890015455768906e+19,0.7233800339725572,0.0008597458229259325,0.7233800339725573,205.43992964820626,-205.43992964820626,205.43992964820626
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.3,281.2594019323803,1.7799096361342286e+19,0.7197037343193966,0.0008553764968149091,0.7197037343193964,204.39586054670863,-204.39586054670863,204.39586054670863
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.35,280.9898709953283,1.770859335927199e+19,0.7160442592969131,0.0008510271669786903,0.716044259296913,203.3565696403233,-203.3565696403233,203.3565696403233
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.4,280.71971278284315,1.7618505278566248e+19,0.7124015615562341,0.0008466977771425739,0.7124015615562342,202.3220434819705,-202.3220434819705,202.3220434819705
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.45,280.44891526915495,1.7528830932823005e+19,0.7087755931253742,0.000842388270291281,0.7087755931253742,201.29226844760626,-201.29226844760626,201.29226844760626
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.5,280.1774665582244,1.7439569120591323e+19,0.7051663054238487,0.0008380985886863252,0.7051663054238487,200.26723074037304,-200.26723074037304,200.26723074037304
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.55,279.9053548839976,1.7350718625728582e+19,0.7015736492771173,0.0008338286738831766,0.7015736492771173,199.24691639470132,-199.24691639470132,199.24691639470132
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.6,279.63256861066566,1.7262278217753194e+19,0.6979975749308455,0.0008295784667482138,0.6979975749308456,198.2313112803601,-198.2313112803601,198.2313112803601
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.65,279.3590962329287,1.7174246652193073e+19,0.694438032064995,0.0008253479074754695,0.6944380320649951,197.22040110645858,-197.22040110645858,197.22040110645858
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.7,279.0849263762638,1.7086622670929959e+19,0.6908949698077467,0.0008211369356031778,0.6908949698077467,196.21417142540005,-196.21417142540005,196.21417142540005
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.75,278.81004779719655,1.6999405002539502e+19,0.687368336749252,0.0008169454900301191,0.687368336749252,195.21260763678757,-195.21260763678757,195.21260763678757
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.8,278.534449383577,1.6912592362627174e+19,0.6838580809552148,0.0008127735090317612,0.6838580809552148,194.215694991281,-194.215694991281,194.215694991281
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.85,278.25812015485695,1.6826183454160062e+19,0.6803641499803081,0.0008086209302762056,0.6803641499803081,193.22341859440752,-193.22341859440752,193.22341859440752
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.9,277.98104926237164,1.6740176967794545e+19,0.676886490881423,0.000804487690839934,0.6768864908814229,192.23576341032415,-192.23576341032415,192.23576341032415
